UID,WID,Understand,attempt,time,distance
60910037,32,3,1,24595,3242.02
60910037,45,2,1,55881,3997.34
60910037,46,4,1,15725,3196.85
60910037,54,2,1,29626,4461.16
60910037,58,2,1,102465,6373.2
60910037,59,2,1,108729,6653.77
60910037,60,2,1,42185,5634.74
60910037,61,2,1,90865,8834.32
60910037,67,2,1,43071,5971.49
60910037,68,2,1,64371,6476.97
60910037,76,2,1,47436,7203.89
60910037,89,2,1,143863,13429.2
60910037,92,3,1,42123,4803.98
60910037,99,2,1,63677,5994.45
60910037,127,2,1,157332,7757.05
60910037,129,2,1,52208,5336.51
60910037,138,2,1,41228,3824.34
60910037,139,2,1,166228,17237.2
60910037,141,2,1,62432,6599.88
60910037,143,2,1,16128,3027.84
60910037,147,2,1,167808,6285.34
60910037,160,2,1,130912,9494.22
60910037,161,2,1,90186,8669.88
60910037,162,2,1,103001,5274.94
60910037,176,2,1,76344,6176.92
60910037,181,2,1,61764,7140.65
60910037,184,2,1,62658,5437.92
60910037,186,2,1,55856,6938.15
60910037,191,3,1,16602,3674.31
60910044,22,4,1,12361,3251.29
60910044,32,4,1,28444,3430.64
60910044,45,3,1,56574,5672.23
60910044,46,3,1,48235,5455.07
60910044,54,3,1,65913,8741.25
60910044,58,3,1,69846,7720.92
60910044,59,3,1,51000,3825.03
60910044,60,3,1,34408,3699.72
60910044,61,3,1,49343,7830.95
60910044,67,3,1,38404,5034.71
60910044,68,3,1,35371,3943.74
60910044,76,2,1,36318,4230.25
60910044,89,2,1,158689,12194
60910044,92,3,1,37849,5554.64
60910044,99,2,1,61414,6804.45
60910044,127,2,1,109370,9669.59
60910044,129,3,1,54914,7211.59
60910044,138,2,1,59896,6529.17
60910044,139,2,1,84707,9365.01
60910044,141,2,1,67546,6071.78
60910044,143,4,1,19271,2758.41
60910044,147,2,1,136368,11418.6
60910044,160,2,1,149633,12646.2
60910044,161,2,1,114772,14454.9
60910044,162,3,1,40495,3561.17
60910044,176,3,1,69331,8736.08
60910044,181,2,1,59872,4366.58
60910044,184,2,1,86410,6524.84
60910044,186,3,1,74152,8361.05
60910044,191,2,1,80371,7514.66
60910046,22,4,1,13007,3722.53
60910046,32,4,1,34366,5330.15
60910046,45,2,1,45266,5482.55
60910046,46,4,1,20086,4135.02
60910046,54,4,1,25081,7426.13
