UID,WID,Understand,attempt,time,distance,totalStopTime
60910103,147,3,1,81607,12335,35713
60910103,160,3,1,60783,12391.9,16036
60910103,161,3,1,98993,15411.1,38121
60910103,162,4,1,27833,3396.08,4556
60910103,176,3,1,63249,8016.84,20402
60910103,181,3,1,44471,8027.93,15330
60910103,184,3,1,97613,8789.25,51044
60910103,186,3,1,76744,9089.35,30644
60910103,191,4,1,18720,4299.82,4129
60911041,22,4,1,17674,4418.94,3637
60911041,32,4,1,15912,3750.26,2699
60911041,45,2,1,61683,5158.87,41354
60911041,46,4,1,16989,3362.79,4795
60911041,54,3,1,28608,5809.17,7428
60911041,58,2,1,35004,6155.91,13103
60911041,59,2,1,38253,4947.94,13763
60911041,60,2,1,39102,5706.89,18141
60911041,61,3,1,44217,8260.63,16454
60911041,67,3,1,26530,4846.22,4049
60911041,68,3,1,28356,3947.13,10401
60911041,76,2,1,102047,13285.9,42188
60911041,89,2,1,159621,15579.8,75014
60911041,92,4,1,71704,6779.61,20102
60911041,99,4,1,18034,5077.09,3217
60911041,127,2,1,110965,12000.4,56722
60911041,129,2,1,74286,6588.28,40130
60911041,138,2,1,44440,8232.92,14786
60911041,139,4,1,29504,5808.55,7509
60911041,141,2,1,54607,7539.91,21144
60911041,143,4,1,14852,3316.2,2693
60911041,147,2,1,177117,20554.2,105094
60911041,160,2,1,100197,7853.09,50480
60911041,161,3,1,45683,8371.37,15663
60911041,162,3,1,26051,3922.87,9608
60911041,176,4,1,32924,4843.92,14585
60911041,181,3,1,47218,6107.46,21740
60911041,184,2,1,47991,5182.5,19261
60911041,186,3,1,28471,6330.85,8462
60911041,191,3,1,31532,4249.04,18089
60911060,22,4,1,18703,3444.3,5380
60911060,32,3,1,26142,4853.57,7788
60911060,45,3,1,32505,4126.64,11010
60911060,46,3,1,25205,3997.15,6071
60911060,54,2,1,69246,10328.1,17836
60911060,58,3,1,26832,5422.25,9607
60911060,59,2,1,36313,4401.52,12990
60911060,60,2,1,49280,5230.31,13971
60911060,61,2,1,69822,9210.66,12219
60911060,67,4,1,32321,5723.59,7626
60911060,68,4,1,31558,5526.35,9889
60911060,76,2,1,65204,7510.24,20165
60911060,89,3,1,39458,5452.95,16819
60911060,92,3,1,33137,5945.72,8240
60911060,99,2,1,95731,8443.99,40350
60911060,127,3,1,70625,8114.93,27375
60911060,129,3,1,77353,7946.76,36756
60911060,138,2,1,42369,6142.06,10924
60911060,139,2,1,64470,9158.76,15335
60911060,141,2,1,49109,6372.91,11911
60911060,143,3,1,19431,3432.46,7344
60911060,147,2,1,154671,15395.5,28159
60911060,160,2,1,107144,9045.44,15054
