UID,WID,Understand,attempt,time,distance,averageSpeed,maxSpeed,maxStopTime,stopcount,xUTurnCount,yUTurnCount,thinkingTime,answeringTime,maxDDTime,DDCount,maxDDIntervalTime,totalDDIntervalTime
60910103,45,3,1,87009,9227.59,0.106053,7348.41,5960,29,31,15,11352,75657,1356,12,17132,62054
60910103,46,4,1,25744,3920.27,0.152279,2789.1,1102,4,15,9,8192,17552,1146,7,3776,9419
60910103,54,3,1,37521,6424.86,0.171234,3895.28,4099,19,15,18,16659,20862,834,9,1831,7134
60910103,58,2,1,146677,18747.9,0.127817,16761.1,8950,41,53,37,13782,132895,1913,15,49107,112301
60910103,59,4,1,30544,4192.83,0.137272,2575.55,2296,7,18,10,5386,25158,983,7,4320,8254
60910103,60,2,1,53458,5426.5,0.10151,2351.42,3464,16,22,12,5059,48399,1089,8,12871,24993
60910103,61,3,1,30653,5605.58,0.182872,4215.04,696,5,17,12,6389,24264,1064,9,3520,12727
60910103,67,4,1,28201,4286.12,0.151985,2923.31,2127,16,17,13,12009,16192,841,7,1351,6114
60910103,68,3,1,29856,4286.66,0.143578,3119.16,1864,7,11,9,5176,24680,1368,9,3663,10192
60910103,76,2,1,80112,6664.73,0.0831926,5926.91,3336,36,16,16,21280,58832,1152,9,25583,34644
60910103,89,3,1,83164,13466.8,0.161931,8299.3,4673,35,46,22,19019,64145,1761,12,18430,45544
60910103,92,4,1,41728,4730.52,0.113366,2097.83,7911,6,15,8,6386,35342,1168,9,13728,21513
60910103,99,4,1,40814,8579.06,0.210199,6292.57,1521,10,26,17,14870,25944,1112,11,3135,13452
60910103,127,4,1,78229,10757.4,0.137511,10376.4,3807,20,29,22,20859,57370,1840,14,18430,43702
60910103,129,4,1,22996,5279,0.229561,4126.38,776,5,12,11,5922,17074,1161,9,2406,6515
60910103,138,2,1,61968,6032.89,0.0973549,4666.37,7581,16,26,27,12512,49456,2440,10,8583,23187
60910103,139,3,1,63143,8660.95,0.137164,7014.46,8202,10,25,33,5992,57151,10655,14,6568,27898
60910103,141,3,1,62360,9850.59,0.157963,9356.81,6928,6,30,20,14512,47848,1520,12,10960,33111
60910103,143,4,1,17288,3290.28,0.190321,2170.68,1008,4,6,5,4584,12704,960,7,1607,4969
60910103,147,3,1,81607,12335,0.151151,9381.49,6536,29,33,22,28176,53431,1127,14,12120,36472
60910103,160,3,1,60783,12391.9,0.203871,9140.22,1787,11,36,26,5360,55423,2713,13,6694,36508
60910103,161,3,1,98993,15411.1,0.155679,13150.9,6333,26,35,28,24138,74855,1521,13,11422,53827
60910103,162,4,1,27833,3396.08,0.122016,2173.94,719,1,13,15,13977,13856,850,7,1999,5239
60910103,176,3,1,63249,8016.84,0.12675,7337.12,3920,15,22,18,6513,56736,5305,14,26110,36115
60910103,181,3,1,44471,8027.93,0.180521,5224.48,3000,12,23,27,2568,41903,1631,10,11064,23211
60910103,184,3,1,97613,8789.25,0.0900418,5615.69,7687,30,32,19,7990,89623,4752,10,26152,72643
60910103,186,3,1,76744,9089.35,0.118437,4859.31,2561,34,20,17,9896,66848,2048,10,15479,46906
60910103,191,4,1,18720,4299.82,0.229691,3175.68,250,0,13,10,3376,15344,868,8,1360,6572
60911041,22,4,1,17674,4418.94,0.250025,3527.62,694,2,13,8,4338,13336,1401,7,1046,5105
60911041,32,4,1,15912,3750.26,0.235687,2711.82,691,1,12,8,2232,13680,916,8,1494,6942
60911041,45,2,1,61683,5158.87,0.0836353,3544.2,30471,22,16,12,4179,57504,2105,9,2728,13196
60911041,46,4,1,16989,3362.79,0.197939,1605.1,993,4,10,10,3533,13456,1336,7,2064,6729
60911041,54,3,1,28608,5809.17,0.203061,5373.73,1232,8,17,14,10051,18557,1170,9,2582,9760
60911041,58,2,1,35004,6155.91,0.175863,5236.36,2103,17,21,17,3700,31304,3578,10,8391,19500
60911041,59,2,1,38253,4947.94,0.129348,4260.36,1804,10,18,16,4086,34167,1218,7,11447,26667
60911041,60,2,1,39102,5706.89,0.145949,4730.58,3725,13,17,13,2878,36224,4634,10,5832,18586
60911041,61,3,1,44217,8260.63,0.18682,6111.01,5177,7,31,19,3752,40465,1537,11,6959,28584
60911041,67,3,1,26530,4846.22,0.18267,1317.21,1073,1,17,23,7450,19080,1257,7,1759,6601
60911041,68,3,1,28356,3947.13,0.139199,3544.16,3086,6,14,10,4635,23721,1296,9,4133,11744
60911041,76,2,1,102047,13285.9,0.130194,12667.5,5769,26,36,34,6048,95999,8377,18,27055,67333
60911041,89,2,1,159621,15579.8,0.0976052,10826,14932,54,50,40,4398,155223,2361,20,12886,53888
60911041,92,4,1,71704,6779.61,0.09455,6304.65,4097,24,22,15,5488,66216,3209,9,40118,51103
60911041,99,4,1,18034,5077.09,0.281529,2639.53,432,0,13,15,4570,13464,823,8,2368,7557
60911041,127,2,1,110965,12000.4,0.108146,9983.4,19704,36,27,28,47760,63205,5807,13,10744,39440
60911041,129,2,1,74286,6588.28,0.0886881,4011.13,15555,30,21,16,7150,67136,1570,12,36910,54992
60911041,138,2,1,44440,8232.92,0.185259,6417.47,2929,8,22,25,4567,39873,4698,13,3001,21651
60911041,139,4,1,29504,5808.55,0.196873,5122.2,1105,1,15,18,4959,24545,1074,12,3007,13889
60911041,141,2,1,54607,7539.91,0.138076,6283.57,2376,20,18,19,4113,50494,4169,11,8112,26024
60911041,143,4,1,14852,3316.2,0.223283,682.479,432,0,16,11,2460,12392,808,7,1817,5795
60911041,147,2,1,177117,20554.2,0.116049,19782,45651,97,48,41,16110,161007,7632,17,89281,136990
60911041,160,2,1,100197,7853.09,0.0783765,5340.6,9144,43,28,17,4585,95612,11562,12,40351,70224
60911041,161,3,1,45683,8371.37,0.183249,5850.18,2661,13,22,19,11165,34518,4884,12,3920,17000
60911041,162,3,1,26051,3922.87,0.150584,2862.87,2207,13,18,12,4435,21616,1369,7,5479,13653
60911041,176,4,1,32924,4843.92,0.147124,1670.99,3898,11,15,12,6732,26192,1650,9,7040,16333
60911041,181,3,1,47218,6107.46,0.129346,4170.18,5012,19,15,8,3538,43680,4042,10,3607,16588
60911041,184,2,1,47991,5182.5,0.107989,4320.63,2016,24,16,15,4824,43167,2529,10,6590,25597
60911041,186,3,1,28471,6330.85,0.222361,2757.37,1580,9,14,12,10151,18320,1074,9,2071,9442
60911041,191,3,1,31532,4249.04,0.134753,3160.49,7168,6,12,9,5332,26200,3232,8,1425,6647
60911060,22,4,1,18703,3444.3,0.184158,1956.45,841,3,10,3,4369,14334,1505,7,1304,6285
60911060,32,3,1,26142,4853.57,0.185662,3455.77,928,4,14,15,3206,22936,1721,9,1574,8282
60911060,45,3,1,32505,4126.64,0.126954,3647.63,3492,4,16,5,5608,26897,2121,9,10231,15734
60911060,46,3,1,25205,3997.15,0.158586,3517.03,1558,4,11,10,4174,21031,2384,8,1616,7172
60911060,54,2,1,69246,10328.1,0.14915,9791.42,5160,4,28,20,8548,60698,2042,12,13015,46219
60911060,58,3,1,26832,5422.25,0.202081,5045.1,2292,1,19,11,4071,22761,1353,9,6368,13633
60911060,59,2,1,36313,4401.52,0.12121,3371.94,4144,8,12,8,4523,31790,1609,7,4952,18660
60911060,60,2,1,49280,5230.31,0.106134,3100.75,1770,9,18,13,2904,46376,3561,12,6112,24527
60911060,61,2,1,69822,9210.66,0.131916,8561.98,1429,7,22,14,3782,66040,6227,10,27980,45909
60911060,67,4,1,32321,5723.59,0.177086,4447.46,1360,2,24,19,7057,25264,1179,10,3687,11316
60911060,68,4,1,31558,5526.35,0.175117,4889.17,976,3,15,14,3262,28296,1906,10,6649,15456
