UID,WID,Understand,attempt,time,distance,averageSpeed,maxSpeed,maxStopTime,xUTurnCount,yUTurnCount,thinkingTime,answeringTime,maxDDTime,DDCount,maxDDIntervalTime,totalDDIntervalTime
30914904,92,4,1,60047,9033.13,0.150434,8014.13,2248,35,20,3240,56807,4371,14,14463,42565
30914904,99,4,1,22768,4815.26,0.211492,1553.11,1373,10,10,8167,14601,641,8,733,4325
30914904,127,4,1,47769,7703.74,0.161271,6257.54,2312,25,16,21656,26113,1586,11,3615,15214
30914904,129,4,1,31929,4763.05,0.149176,1800.23,1992,18,14,7976,23953,2504,8,3679,13391
30914904,138,2,1,45040,8042.01,0.178553,7181.02,2518,19,18,5031,40009,4127,12,6902,27628
30914904,139,2,1,49806,8273.19,0.166108,7787.08,993,27,21,5462,44344,3497,18,3734,26659
30914904,141,2,1,90552,9167.04,0.101235,8121.88,3619,32,23,4121,86431,2747,13,16917,61286
30914904,143,4,1,12031,3415.29,0.283874,2934.04,224,9,7,2703,9328,678,7,1356,5154
30914904,147,3,1,50163,8997.96,0.179374,7559,4454,29,16,7298,42865,2816,11,6888,23846
30914904,160,3,1,56159,7837.3,0.139556,6976.78,3864,24,17,1624,54535,7314,12,8639,29082
30914904,161,2,1,109385,10919.2,0.0998237,10621.3,13517,24,25,7650,101735,22386,14,19637,45045
30914904,162,4,1,26458,4424.41,0.167224,2787.51,1262,18,11,2673,23785,1961,10,4062,12893
30914904,176,4,1,34600,5626.41,0.162613,4802.89,965,14,11,4320,30280,10249,11,3160,12505
30914904,181,4,1,15431,3850.83,0.249552,1163.77,1112,12,8,3143,12288,592,9,3512,7341
30914904,184,4,1,35382,5109.52,0.14441,4471.99,1620,21,17,4046,31336,1962,11,4070,17813
30914904,186,4,1,52274,9454.88,0.180872,8809.91,954,29,21,16931,35343,2104,12,5821,23966
30914904,191,4,1,32363,6078.2,0.187813,2934.08,4368,20,13,4947,27416,1172,11,8264,19223
60910014,22,4,1,13446,3114.37,0.231621,2584.32,257,6,11,1798,11648,970,7,1038,4835
60910014,32,3,1,22745,3568.55,0.156894,3034.97,4143,14,6,1304,21441,945,8,8584,14939
60910014,45,2,1,33278,5605.17,0.168435,4715.9,599,15,13,2454,30824,1187,11,5152,19814
60910014,46,4,1,24740,3286.16,0.132828,2377,1480,9,8,1711,23029,1040,7,5200,16555
60910014,54,4,1,19849,4747.68,0.23919,4330.22,378,13,11,2025,17824,1114,9,2007,8713
60910014,58,4,1,29744,4520.46,0.151979,2578.28,1292,11,10,10904,18840,1337,9,3590,11010
60910014,59,2,1,50064,4493,0.0897452,3947.48,4438,12,9,4122,45942,2825,8,18231,33744
60910014,60,4,1,26153,3500.96,0.133864,3072.21,2097,14,6,5009,21144,1177,8,7967,14510
60910014,61,3,1,31867,5121.79,0.160724,4740.15,2063,19,10,12107,19760,1770,9,1752,8302
60910014,67,4,1,12766,2959.89,0.231857,2490.36,254,15,5,2109,10657,865,7,1191,4986
60910014,68,4,1,19385,3887.64,0.200549,3390.29,404,11,8,3200,16185,1089,9,1735,8453
60910014,76,2,1,61051,4478.23,0.0733522,3781.34,6075,15,10,12907,48144,2601,8,11846,26931
60910014,89,2,1,65670,8867.1,0.135025,8519.82,5040,26,22,23678,41992,2226,13,10221,29127
60910014,92,4,1,23401,4281.52,0.182963,3584.03,1120,14,6,3850,19551,1551,9,3951,11373
60910014,99,4,1,26738,3843.55,0.143748,3339.04,2119,15,10,13385,13353,1065,8,1047,5869
60910014,127,2,1,89158,10740.4,0.120464,10425.6,1400,33,20,29758,59400,2203,14,7726,41372
